iter	Logloss
0	0.685905274
1	0.6791189598
2	0.6730169105
3	0.6675774492
4	0.6614888772
5	0.6547659792
6	0.6489290905
7	0.6421605119
8	0.6372246431
9	0.6324027153
10	0.6268218982
11	0.6208629224
12	0.6157696295
13	0.6103081864
14	0.605568074
15	0.6014916929
16	0.5974200716
17	0.5924581294
18	0.5878888689
19	0.5831668528
20	0.5792167402
21	0.5747057142
22	0.5708977831
23	0.5670452992
24	0.5633354525
25	0.5602902936
26	0.557113345
27	0.5532642961
28	0.5501372043
29	0.5465295544
30	0.5433823108
31	0.540891202
32	0.5377665346
33	0.5349590524
34	0.5319617583
35	0.5285713388
36	0.5258464082
37	0.5236947951
38	0.5212997226
39	0.5184984303
40	0.5162000092
41	0.5136830328
42	0.5109765543
43	0.5092721594
44	0.5064352663
45	0.5038678748
46	0.5013113063
47	0.4996715908
48	0.497545409
49	0.4951976496
50	0.4932172926
51	0.4915740678
52	0.4900635939
53	0.488086908
54	0.4864451271
55	0.4848048454
56	0.4829608221
57	0.4815182402
58	0.4796568879
59	0.477786545
60	0.4760055099
61	0.4743034942
62	0.4729115629
63	0.471387298
64	0.4697297687
65	0.468457968
66	0.4672271235
67	0.4656675313
68	0.4640488346
69	0.4627764052
70	0.4613597826
71	0.4603113685
72	0.4590076822
73	0.45773418
74	0.4569589226
75	0.4561849534
76	0.4553314185
77	0.4543100736
78	0.4531209124
79	0.4519851321
80	0.4507060265
81	0.4499747398
82	0.4491375432
83	0.4481227888
84	0.447124073
85	0.446538108
86	0.4451261333
87	0.4440477504
88	0.443297881
89	0.4426747519
90	0.4417528517
91	0.4410440657
92	0.4399209838
93	0.4391554326
94	0.4386265949
95	0.4379944426
96	0.4375385866
97	0.4370751707
98	0.4362523539
99	0.4356879272
100	0.4351366419
101	0.4343545887
102	0.4337911016
103	0.4327458452
104	0.4322705559
105	0.4316344855
106	0.4310306798
107	0.4306242435
108	0.4299376025
109	0.429188734
110	0.4286437347
111	0.4279551933
112	0.4274179086
113	0.4265249653
114	0.4261007527
115	0.4253640662
116	0.4249421244
117	0.4245353086
118	0.4241133309
119	0.4234786023
120	0.4228248396
121	0.4222606281
122	0.4220031075
123	0.4217193595
124	0.4210801864
125	0.4206138232
126	0.4201843614
127	0.4196880922
128	0.4189767506
129	0.4185178477
130	0.4181341308
131	0.4178341682
132	0.4173746413
133	0.4169645094
134	0.4165157729
135	0.4160998108
136	0.4159076221
137	0.4153510654
138	0.414983957
139	0.4143013048
140	0.4139324699
141	0.4134779344
142	0.413342022
143	0.4129530211
144	0.4127448113
145	0.412343081
146	0.4120323093
147	0.4116829855
148	0.4113575437
149	0.4109238714
150	0.4102799867
151	0.4100257373
152	0.4094340281
153	0.4090800128
154	0.4086799677
155	0.4084032463
156	0.4081455676
157	0.4077097124
158	0.4074434612
159	0.4071431786
160	0.4067282947
161	0.4064663599
162	0.4060519024
163	0.4058936573
164	0.4056096422
165	0.4051782936
166	0.4048992073
167	0.4043650625
168	0.4040851579
169	0.4037721043
170	0.403461283
171	0.403132172
172	0.4029665146
173	0.4027377897
174	0.4024258279
175	0.4023510553
176	0.4019391832
177	0.4017917173
178	0.4016529116
179	0.4014489157
180	0.4013024235
181	0.4009765372
182	0.4007761459
183	0.4004687769
184	0.4001994818
185	0.3999488213
186	0.3995113973
187	0.39931684
188	0.3991796922
189	0.3989655469
190	0.3987671131
191	0.3985045235
192	0.3982180331
193	0.3981396753
194	0.3979156072
195	0.3976625814
196	0.3974028413
197	0.3971535766
198	0.3970427029
199	0.396965017
200	0.3968074649
201	0.3965622853
202	0.3964946985
203	0.3963833133
204	0.3960613756
205	0.3956884826
206	0.3954465433
207	0.3952046149
208	0.3950583064
209	0.3947822961
210	0.394674983
211	0.3943258924
212	0.3942226734
213	0.3939523603
214	0.3938065291
215	0.3936676363
216	0.3934685256
217	0.3933811691
218	0.3933194848
219	0.3931273374
220	0.3929963374
221	0.3928263037
222	0.3926747968
223	0.3924799405
224	0.3923367512
225	0.3920835498
226	0.3920131944
227	0.3918337326
228	0.391727296
229	0.3916912996
230	0.3915224557
231	0.3913896324
232	0.3912560115
233	0.3911927519
234	0.3910146816
235	0.390895949
236	0.3907507834
237	0.3907031427
238	0.3905563153
239	0.3905112892
240	0.3904240585
241	0.3902393843
242	0.390116173
243	0.3899323653
244	0.3898076782
245	0.3896602704
246	0.389537417
247	0.3894389806
248	0.3893025775
249	0.3891055737
250	0.3890529429
251	0.3889722616
252	0.388957031
253	0.3888770193
254	0.3887246913
255	0.3886026692
256	0.388493188
257	0.3884075182
258	0.3883555102
259	0.3882993124
260	0.3882971335
261	0.3882546378
262	0.3881946662
263	0.3880474234
264	0.3879785501
265	0.3879748207
266	0.387824809
267	0.3877218584
268	0.3875647568
269	0.3874880838
270	0.3873097429
271	0.3871923244
272	0.3871068621
273	0.3868453927
274	0.3867800012
275	0.3866142456
276	0.3865586862
277	0.3864556799
278	0.3863432406
279	0.386298747
280	0.3862283742
281	0.3862281026
282	0.386186071
283	0.38603931
284	0.3860365744
285	0.3859377268
286	0.3858532454
287	0.3857456436
288	0.3857368529
